Query,Intent
what is the yeild of dh-256?,groundnutyeilddh256
How much yeild is obtained from dh-256?,groundnutyeilddh256
what is the average yeild of dh-257?,groundnutyeilddh257
Average yeild of groundnut dh-257?,groundnutyeilddh257
what is the yeild of dh-257?,groundnutyeilddh257
How much yeild is obtained from dh-257?,groundnutyeilddh257
Which groundnut is best for yielding purpose in rabi season?,groundnutbestyield
what variety of groundnut is best in yielding during rabi season,groundnutbestyield
best yielding groundnut variety?,groundnutbestyield
What is the best time period for sowing the rabi season ground nut seeds?,groundnutbesttimeforsowing
During which month we should start to cultivate the rabi groundnut?,groundnutbesttimeforsowing
what are the starting months for sowing the rabi groundnut?,groundnutbesttimeforsowing
How frequently water should be given to soil for groundnut?,groundnutwater
What should be the watering plan for groundnut?,groundnutwater
What is the water planning for the groundnut?,groundnutwater
What percentage of oil is present in dh-101 seeds?,groundnutoil
What percentage of oil is present in tag-24 seeds?,groundnutoil
What percentage oil content in dh-101 seeds?,groundnutoil
What percentage oil content in tag-24 seeds?,groundnutoil
How much percentage of oil will content in dh-101 seeds?,groundnutoil
How much percentage of oil will content in tag-24 seeds?,groundnutoil
What percentage of oil is present in dh-256 seeds?,groundnutoil256
What percentage oil content in dh-256 seeds?,groundnutoil256
How much percentage of oil will content in dh-256 seeds?,groundnutoil256
How long it takes to yeild the dh-101 crop?,groundnuty101
what is the yielding duration for  dh-101 crop?,groundnuty101
Cultivation period of dh-101 crop?,groundnuty101
How long it takes to yeild the dh-256 crop?,groundnuty256
what is the yielding duration for  dh-256 crop?,groundnuty256
Cultivation period of dh-256 crop?,groundnuty256
How long it takes to yeild the dh-257 crop?,groundnuty257
what is the yielding duration for  dh-257 crop?,groundnuty257
Cultivation period of dh-257 crop?,groundnuty257
How long it takes to yeild the tag-24 crop?,groundnuty24
what is the yielding duration for  tag-24 crop?,groundnuty24
Cultivation period of tag-24 crop?,groundnuty24
What are the nutrients required for the soil before sowing the groundnut seeds?,soiln
Which are the fertilizer used for the soil before the sowing process?,soiln
Nutrients to use for soil before sowing?,soiln
How to improve the soil condition for nuts?,soilc
What are the requirement for improve the soil condition?,soilc
Necessary things required for soil nourishment?,solic
How seeds should be treated?,groundnutseedtreatment
With what seeds should be treated so that the yield can be optimum?,groundnutseedtreatment
Required nutrients for the seeds ,groundnutseedtreatment
what are the things with which seeds should be treated for better yield?,groundnutseedtreatment
Why rabi groundnuts are preffered than other types?,groundnutwhyrabi
rabi groundnuts are known for what ?,groundnutwhyrabi
Why rabi groundnuts are choosen ?,groundnutwhyrabi
What are the common disease faced by groundnuts?,groundnutdisease
Which diseases are problematic for rabi groundnut specie?,groundnutdisease
What are potentially threaten diseases caused to groundnut?,groundnutdisease
What is the colour of the seed of dh101?,groundnutcol
colour of seeds of dh101,groundnutcol
what colour are the seeds of the dh101?,groundnutcol
What is the colour of the seed of tag24?,groundnutcol
colour of seeds of tag24,groundnutcol
what colour are the seeds of the tag24?,groundnutcol
What is the colour of the seed of dh257?,groundnutcol
colour of seeds of dh257,groundnutcol
what colour are the seeds of the dh257?,groundnutcol
What is the colour of the seed of dh256?,groundnutcoldh256
colour of seeds of dh256,groundnutcoldh256
what colour are the seeds of the dh256?,groundnutcoldh256
How much seeds should be sown in an acer?,groundnuthowmuchseedstosow
On an average how much seeds should be planted in an acer?,groundnuthowmuchseedstosow
Averagly how many seeds should be planted?,groundnuthowmuchseedstosow
How many seeds should be planted in general?,groundnuthowmuchseedstosow
"Diseases like rust, peanut bud necrosis or root rot are major problems at what part of India?",groundnutkrishna
"which part of india is mostly affected by rust, root rot diseases?",groundnutkrishna
How one can avoid rusting of groundnut?,groundnutrustcontrol
Preventions for rusting of groundnut?,groundnutrustcontrol
What are the ways through which  rust disease can be avoided?,groundnutrustcontrol
List the methods to control the rust disease of groundnut?,groundnutrustcontrol
Measures to prevent rusting of groundnut disease?,groundnutrustcontrol
How to control peanut bud necrosis disease?,groundnutnecrosiscontrol
Measure to prevent necrosis problem in groundnut?,groundnutnecrosiscontrol
What to do to reduce necrosis problem in groundnut?,groundnutnecrosiscontrol
Solutions for peanut bud necrosis disease?,groundnutnecrosiscontrol
How to control peanut rod disease?,groundnutrodcontrol
Measure to prevent rod problem in groundnut?,groundnutrodcontrol
What to do to reduce rod problem in groundnut?,groundnutrodcontrol
